fid,Zonizzazione,classificazione,etichetta_studio,superfici km2,ID,Macro_aree,etichetta_macroarea
1,Formazioni boschive,C1,C1,301398.714966727,1,Formazioni boschive: Macchia; Gariga; Prateria,C
11,Formazioni boschive,C2,C2,1972.31438788772,11,Formazioni boschive: Macchia; Gariga; Prateria,C
41,Formazioni boschive,C1,C1,20055.9211643059,41,Formazioni boschive: Macchia; Gariga; Prateria,C
43,Aree agricole,B3,B3,10737.6121379118,43,Aree agricole,B
49,Formazioni boschive,C3,C3,9274.7637048699,49,Formazioni boschive: Macchia; Gariga; Prateria,C
54,Formazioni boschive,C4,C4,10056.3912069472,54,Formazioni boschive: Macchia; Gariga; Prateria,C
55,Formazioni boschive,C3,C3,5976.98745685816,55,Formazioni boschive: Macchia; Gariga; Prateria,C
60,Aree agricole,B3,B3,4087.54563415423,60,Aree agricole,B
68,Formazioni boschive,C4,C4,4056.085092191,68,Formazioni boschive: Macchia; Gariga; Prateria,C
80,Aree agricole,B3,B3,54951.8735044561,80,Aree agricole,B
84,Parco multifunzionale,PM2,PM2,34152.3291458376,84,Parco nel Parco ex area Nomadi e aree adiacenti,PM
92,Formazioni boschive,C1,C1,2760.82713377476,92,Formazioni boschive: Macchia; Gariga; Prateria,C
93,Formazioni boschive,C1,C1,15332.9591307524,93,Formazioni boschive: Macchia; Gariga; Prateria,C
97,Formazioni boschive,C1,C1,14052.6999440004,97,Formazioni boschive: Macchia; Gariga; Prateria,C
103,Vivaio comunale,G,G,4268.38855553395,103,Vivaio comunale,G
104,Vivaio comunale,G,G,12004.2675118445,104,Vivaio comunale,G
109,Aree agricole,B3,B3,17262.9596806988,109,Aree agricole,B
110,Formazioni boschive,A3,A3,545.11987131089,110,Giardini ornamentali,A
115,Formazioni boschive,C2,C2,3450.11219005659,115,Formazioni boschive: Macchia; Gariga; Prateria,C
117,Parco multifunzionale,PM4,PM4,18379.1904020011,117,Parco nel Parco ex area Nomadi e aree adiacenti,PM
120,Formazioni boschive,C2,C2,7308.83142714202,120,Formazioni boschive: Macchia; Gariga; Prateria,C
121,Giardini ornamentali,A1,A1,4750.01781724207,121,Giardini ornamentali,A
122,Formazioni boschive,C3,C3,1798.80093711661,122,Formazioni boschive: Macchia; Gariga; Prateria,C
